"scientific_name","longitude","latitude","group"
"Salamandra salamandra terrestris Lacépède, 1788",1.8765,47.57674,3
"Salamandra salamandra (Linnaeus, 1758)",15.52774,46.65906,4
"Salamandra salamandra (Linnaeus, 1758)",7.96952,49.37813,3
"Salamandra salamandra (Linnaeus, 1758)",9.60131,46.1601,4
"Salamandra salamandra (Linnaeus, 1758)",14.47916,46.27096,4
"Salamandra salamandra terrestris Lacépède, 1788",-1.90855,47.13414,3
"Salamandra salamandra (Linnaeus, 1758)",-7.33231,39.40892,1
"Salamandra salamandra (Linnaeus, 1758)",-4.67128,43.06607,1
"Salamandra salamandra terrestris Lacépède, 1788",-2.63077,48.36322,3
"Salamandra salamandra (Linnaeus, 1758)",14.38578,50.14455,4
"Salamandra salamandra (Linnaeus, 1758)",-8.27853,40.07161,1
"Salamandra salamandra (Linnaeus, 1758)",-4.78717,38.00316,1
"Salamandra salamandra (Linnaeus, 1758)",14.2814,48.33374,4
"Salamandra salamandra gallaica López-Seoane, 1885",-9.3062,38.72837,1
"Salamandra salamandra terrestris Lacépède, 1788",4.259,44.59941,2
"Salamandra salamandra (Linnaeus, 1758)",7.12451,45.03055,2
"Salamandra salamandra (Linnaeus, 1758)",12.69246,48.61205,4
"Salamandra salamandra (Linnaeus, 1758)",7.466,45.73886,2
"Salamandra salamandra salamandra",11.15303,45.51503,2
"Salamandra salamandra (Linnaeus, 1758)",18.87436,47.90055,4
"Salamandra salamandra terrestris Lacépède, 1788",0.46112,46.62872,3
"Salamandra salamandra salamandra",8.05581,45.47148,2
"Salamandra salamandra (Linnaeus, 1758)",7.39276,44.5348,2
"Salamandra salamandra (Linnaeus, 1758)",11.38445,46.50576,4
"Salamandra salamandra (Linnaeus, 1758)",-8.77614,40.48791,1
"Salamandra salamandra (Linnaeus, 1758)",-6.51462,42.82747,1
"Salamandra salamandra gallaica López-Seoane, 1885",-8.60104,41.54584,1
"Salamandra salamandra terrestris Lacépède, 1788",3.73179,50.34046,3
"Salamandra salamandra terrestris Lacépède, 1788",3.84043,44.06974,2
"Salamandra salamandra terrestris Lacépède, 1788",6.044,47.2343,3
"Salamandra salamandra morenica Joger & Steinfartz, 1994",-3.96317,38.12608,1
"Salamandra salamandra (Linnaeus, 1758)",-6.56363,43.53395,1
"Salamandra salamandra (Linnaeus, 1758)",-7.82108,39.05118,1
"Salamandra salamandra (Linnaeus, 1758)",-5.82691,43.37949,1
"Salamandra salamandra (Linnaeus, 1758)",-7.73282,41.29876,1
"Salamandra salamandra (Linnaeus, 1758)",5.70584,43.91909,2
"Salamandra salamandra gallaica López-Seoane, 1885",-8.74715,38.86354,1
"Salamandra salamandra (Linnaeus, 1758)",7.90179,47.5384,3
"Salamandra salamandra (Linnaeus, 1758)",7.42187,51.38853,3
"Salamandra salamandra terrestris Lacépède, 1788",0.85391,48.60444,3
"Salamandra salamandra (Linnaeus, 1758)",-6.08883,40.02303,1
"Salamandra salamandra (Linnaeus, 1758)",-8.23573,40.89946,1
"Salamandra salamandra (Linnaeus, 1758)",-8.75024,37.80135,1
"Salamandra salamandra (Linnaeus, 1758)",-7.82762,42.29794,1
"Salamandra salamandra (Linnaeus, 1758)",6.71359,46.40234,3
"Salamandra salamandra (Linnaeus, 1758)",4.478,48.33264,3
"Salamandra salamandra (Linnaeus, 1758)",2.03203,46.08859,3
"Salamandra salamandra (Linnaeus, 1758)",-7.91772,38.27606,1
"Salamandra salamandra gallaica López-Seoane, 1885",-9.23727,39.25531,1
"Salamandra salamandra (Linnaeus, 1758)",15.06126,50.7927,4
"Salamandra salamandra terrestris Lacépède, 1788",6.66434,45.57813,2
"Salamandra salamandra (Linnaeus, 1758)",-8.46862,42.33577,1
"Salamandra salamandra (Linnaeus, 1758)",-5.38476,36.71159,1
"Salamandra salamandra (Linnaeus, 1758)",8.50406,47.2899,3
"Salamandra salamandra (Linnaeus, 1758)",8.68718,48.98767,4
"Salamandra salamandra (Linnaeus, 1758)",8.968,49.662,4
"Salamandra salamandra terrestris Lacépède, 1788",4.92655,47.42282,3
"Salamandra salamandra terrestris Lacépède, 1788",-0.7985,45.08037,2
"Salamandra salamandra terrestris Lacépède, 1788",3.20426,48.91737,3
"Salamandra salamandra (Linnaeus, 1758)",-8.82661,39.83456,1
"Salamandra salamandra terrestris Lacépède, 1788",10.73217,52.20774,4
"Salamandra salamandra terrestris Lacépède, 1788",9.50584,52.28354,4
"Salamandra salamandra terrestris Lacépède, 1788",-3.84405,48.6036,3
"Salamandra salamandra (Linnaeus, 1758)",-7.18592,40.53998,1
"Salamandra salamandra (Linnaeus, 1758)",8.71924,44.67111,2
"Salamandra salamandra (Linnaeus, 1758)",16.03799,48.16119,4
"Salamandra salamandra (Linnaeus, 1758)",12.39412,47.79116,4
"Salamandra salamandra terrestris Lacépède, 1788",-0.86162,49.20037,3
"Salamandra salamandra (Linnaeus, 1758)",13.50628,46.86443,4
"Salamandra salamandra (Linnaeus, 1758)",11.31119,50.77885,4
"Salamandra salamandra (Linnaeus, 1758)",8.70939,50.56859,4
"Salamandra salamandra terrestris Lacépède, 1788",3.04692,43.79437,2
"Salamandra salamandra (Linnaeus, 1758)",8.8933,45.80278,2
"Salamandra salamandra terrestris Lacépède, 1788",0.79623,47.34074,3
"Salamandra salamandra terrestris Lacépède, 1788",-0.59948,47.48281,3
"Salamandra salamandra (Linnaeus, 1758)",23.19797,41.35293,2
"Salamandra salamandra (Linnaeus, 1758)",11.0021,51.73262,4
"Salamandra salamandra terrestris Lacépède, 1788",1.38053,46.33465,3
"Salamandra salamandra terrestris Lacépède, 1788",2.12404,48.85431,3
"Salamandra salamandra (Linnaeus, 1758)",9.92799,45.71008,2
"Salamandra salamandra (Linnaeus, 1758)",-7.58677,37.36998,1
"Salamandra salamandra terrestris Lacépède, 1788",-3.80683,47.87089,3
"Salamandra salamandra (Linnaeus, 1758)",1.78277,44.05573,2
"Salamandra salamandra (Linnaeus, 1758)",13.39566,47.7988,4
"Salamandra salamandra (Linnaeus, 1758)",15.9187,48.88451,4
"Salamandra salamandra (Linnaeus, 1758)",11.31193,49.59856,4
"Salamandra salamandra (Linnaeus, 1758)",-0.1619,43.64693,2
"Salamandra salamandra (Linnaeus, 1758)",14.3484,47.73672,4
"Salamandra salamandra (Linnaeus, 1758)",-5.69672,37.88293,1
"Salamandra salamandra (Linnaeus, 1758)",1.57558,45.55139,2
"Salamandra salamandra terrestris Lacépède, 1788",-0.93856,45.80392,1
"Salamandra salamandra (Linnaeus, 1758)",10.81839,46.0688,2
"Salamandra salamandra (Linnaeus, 1758)",7.85456,50.05009,3
"Salamandra salamandra (Linnaeus, 1758)",-8.53119,42.87573,1
"Salamandra salamandra (Linnaeus, 1758)",12.20738,49.03245,4
"Salamandra salamandra (Linnaeus, 1758)",23.48121,41.79507,2
"Salamandra salamandra (Linnaeus, 1758)",2.09932,41.58284,2
"Salamandra salamandra terrestris Lacépède, 1788",1.08428,42.95038,2
"Salamandra salamandra (Linnaeus, 1758)",15.89191,47.15482,4
"Salamandra salamandra (Linnaeus, 1758)",20.62134,44.67187,2
"Salamandra salamandra (Linnaeus, 1758)",5.41237,45.90399,2
"Salamandra salamandra (Linnaeus, 1758)",-5.03664,40.25903,1
"Salamandra salamandra (Linnaeus, 1758)",7.9589,44.19396,2
"Salamandra salamandra terrestris Lacépède, 1788",2.84597,42.50674,2
"Salamandra salamandra (Linnaeus, 1758)",17.69807,45.60421,2
"Salamandra salamandra (Linnaeus, 1758)",14.12523,46.65609,4
"Salamandra salamandra (Linnaeus, 1758)",7.36717,43.90142,2
"Salamandra salamandra (Linnaeus, 1758)",-1.06578,48.20632,3
"Salamandra salamandra (Linnaeus, 1758)",2.4915,42.13973,2
