"name","longitude","latitude","issues","prov","key","scientificName","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","lifeStage","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier","http://unknown.org/nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http://unknown.org/captive","identificationID","iucnRedListCategory","occurrenceRemarks","informationWithheld","distanceFromCentroidInMeters","sex","identificationRemarks","individualCount","vernacularName","locality","higherClassification","samplingProtocol","eventID","dataGeneralizations","footprintWKT","elevation","elevationAccuracy","datasetID","http://unknown.org/language","municipality","originalNameUsage","county","identificationVerificationStatus","nameAccordingTo","occID"
"Salamandra salamandra terrestris Lacépède, 1788",1.876498,47.576739,"cdc,cdround","gbif","4535582063","Salamandra salamandra terrestris Lacépède, 1788","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2024-07-09T01:59:58.897+00:00","2024-07-09T16:45:20.270+00:00",471,"HUMAN_OBSERVATION","PRESENT","Adult",5848702,1,44,131,953,6750,8024525,2431776,5848702,"Salamandra salamandra terrestris Lacépède, 1788","Animalia","Chordata","Caudata","Salamandridae","Salamandra","Salamandra salamandra","Salamandra","salamandra","terrestris","SUBSPECIES","ACCEPTED","2024-01-03T14:49:00",8,"EUROPE","Centre",2024,1,1,2024-01-01,1,1,"2024-02-29T16:45:34.000+00:00","2024-07-09T16:45:20.270+00:00","https://www.inaturalist.org/observations/195459090","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Aurélien Coste","Samuel GUIRAUDOU","WGS84","Amphibia","FR","EUROPE","France","NORTH_AMERICA","Aurélien Coste","195459090","aureliencoste","2024-01-01 12:47:05","41600 Chaumont-sur-Tharonne, France","Observations","4535582063","https://www.inaturalist.org/observations/195459090","702803","195459090","iNaturalist","12:47:05+01:00","wild","440188902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Salamandra salamandra (Linnaeus, 1758)",15.527737,46.659062,"cdc,cdround","gbif","4507714997","Salamandra salamandra (Linnaeus, 1758)","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2024-07-09T01:59:58.897+00:00","2024-07-09T16:45:31.494+00:00",471,"HUMAN_OBSERVATION","PRESENT",NA,2431776,1,44,131,953,6750,8024525,2431776,2431776,"Salamandra salamandra (Linnaeus, 1758)","Animalia","Chordata","Caudata","Salamandridae","Salamandra","Salamandra salamandra","Salamandra","salamandra",NA,"SPECIES","ACCEPTED","2024-01-01T14:10:37",1,"EUROPE","Steiermark",2024,1,1,2024-01-01,1,1,"2024-01-07T13:17:41.000+00:00","2024-07-09T16:45:31.494+00:00","https://www.inaturalist.org/observations/195466444","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Carrotti","Patrick Hacker","WGS84","Amphibia","AT","EUROPE","Austria","NORTH_AMERICA","Carrotti","195466444","carrotti","2024-01-01 15:03:54","Leibnitz, AT-ST, AT","Observations","4507714997","https://www.inaturalist.org/observations/195466444","27726","195466444","iNaturalist","15:03:54+01:00","wild","439604860","LC","Salmander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"Salamandra salamandra terrestris Lacépède, 1788",0.65058,43.224286,"cdc,cdround","gbif","4507898094","Salamandra salamandra terrestris Lacépède, 1788","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2024-07-09T01:59:58.897+00:00","2024-07-09T17:12:18.459+00:00",471,"HUMAN_OBSERVATION","PRESENT","Adult",5848702,1,44,131,953,6750,8024525,2431776,5848702,"Salamandra salamandra terrestris Lacépède, 1788","Animalia","Chordata","Caudata","Salamandridae","Salamandra","Salamandra salamandra","Salamandra","salamandra","terrestris","SUBSPECIES","ACCEPTED","2024-01-03T14:48:22",2020,"EUROPE","Midi-Pyrénées",2024,1,1,2024-01-01,1,1,"2024-01-16T20:53:29.000+00:00","2024-07-09T17:12:18.459+00:00","https://www.inaturalist.org/observations/195468723","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Christian Redlich","Samuel GUIRAUDOU","WGS84","Amphibia","FR","EUROPE","France","NORTH_AMERICA","Christian Redlich","195468723","immergruener","2024/01/01 15:24","31350 Lespugue, Frankreich","Observations","4507898094","https://www.inaturalist.org/observations/195468723","702803","195468723","iNaturalist","15:24:00+01:00","wild","440188805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"Salamandra salamandra (Linnaeus, 1758)",7.969525,49.37813,"cdc","gbif","4507740218","Salamandra salamandra (Linnaeus, 1758)","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2024-07-09T01:59:58.897+00:00","2024-07-09T16:45:20.057+00:00",471,"HUMAN_OBSERVATION","PRESENT","Larva",2431776,1,44,131,953,6750,8024525,2431776,2431776,"Salamandra salamandra (Linnaeus, 1758)","Animalia","Chordata","Caudata","Salamandridae","Salamandra","Salamandra salamandra","Salamandra","salamandra",NA,"SPECIES","ACCEPTED","2024-01-01T15:47:15",12,"EUROPE","Rheinland-Pfalz",2024,1,1,2024-01-01,1,1,"2024-01-29T12:06:30.000+00:00","2024-07-09T16:45:20.057+00:00","https://www.inaturalist.org/observations/195473888","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","bugzone","bugzone","WGS84","Amphibia","DE","EUROPE","Germany","NORTH_AMERICA","bugzone","195473888","bugzone","2024-01-01 15:41:33+01:00","Naturpark Pfälzerwald, Esthal, Rheinland-Pfalz, DE","Observations","4507740218","https://www.inaturalist.org/observations/195473888","27726","195473888","iNaturalist","15:41:33+01:00","wild","439625400","LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"Salamandra salamandra (Linnaeus, 1758)",9.60131,46.160105,"cdc,cdround","gbif","4507949205","Salamandra salamandra (Linnaeus, 1758)","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2024-07-09T01:59:58.897+00:00","2024-07-09T16:44:55.583+00:00",471,"HUMAN_OBSERVATION","PRESENT",NA,2431776,1,44,131,953,6750,8024525,2431776,2431776,"Salamandra salamandra (Linnaeus, 1758)","Animalia","Chordata","Caudata","Salamandridae","Salamandra","Salamandra salamandra","Salamandra","salamandra",NA,"SPECIES","ACCEPTED","2024-01-01T16:47:45",20,"EUROPE","Lombardia",2024,1,1,2024-01-01,1,1,"2024-01-07T13:18:44.000+00:00","2024-07-09T16:44:55.583+00:00","https://www.inaturalist.org/observations/195479196","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Nicolò Seregni","Nicolò Seregni","WGS84","Amphibia","IT","EUROPE","Italy","NORTH_AMERICA","Nicolò Seregni","195479196","nicoseregni","2024-01-01 17:02:34","23010 Dazio SO, Italia","Observations","4507949205","https://www.inaturalist.org/observations/195479196","27726","195479196","iNaturalist","17:02:34+01:00","wild","439639184","LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"Salamandra salamandra (Linnaeus, 1758)",14.479162,46.270956,"cdc,cdround","gbif","4507970161","Salamandra salamandra (Linnaeus, 1758)","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2024-07-09T01:59:58.897+00:00","2024-07-09T16:46:45.300+00:00",471,"HUMAN_OBSERVATION","PRESENT","Adult",2431776,1,44,131,953,6750,8024525,2431776,2431776,"Salamandra salamandra (Linnaeus, 1758)","Animalia","Chordata","Caudata","Salamandridae","Salamandra","Salamandra salamandra","Salamandra","salamandra",NA,"SPECIES","ACCEPTED","2024-01-01T20:16:19",15,"EUROPE","Gorenjska",2024,1,1,2024-01-01,1,1,"2024-01-07T13:03:39.000+00:00","2024-07-09T16:46:45.300+00:00","https://www.inaturalist.org/observations/195496696","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","META","META","WGS84","Amphibia","SI","EUROPE","Slovenia","NORTH_AMERICA","META","195496696","meta_stular","2024/01/01 12:00 AM","4207 Češnjevek, Slovenija","Observations","4507970161","https://www.inaturalist.org/observations/195496696","27726","195496696","iNaturalist","00:00:00+01:00","wild","439687590","LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"Salamandra salamandra terrestris Lacépède, 1788",-1.908553,47.134145,"cdc,cdround","gbif","4507689274","Salamandra salamandra terrestris Lacépède, 1788","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2024-07-09T01:59:58.897+00:00","2024-07-09T17:11:54.380+00:00",471,"HUMAN_OBSERVATION","PRESENT","Adult",5848702,1,44,131,953,6750,8024525,2431776,5848702,"Salamandra salamandra terrestris Lacépède, 1788","Animalia","Chordata","Caudata","Salamandridae","Salamandra","Salamandra salamandra","Salamandra","salamandra","terrestris","SUBSPECIES","ACCEPTED","2024-01-01T22:31:59",50,"EUROPE","Pays de la Loire",2024,1,1,2024-01-01,1,1,"2024-01-12T11:53:30.000+00:00","2024-07-09T17:11:54.380+00:00","https://www.inaturalist.org/observations/195506077","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","guillaumechevalier","Jonathan Lesven","WGS84","Amphibia","FR","EUROPE","France","NORTH_AMERICA","guillaumechevalier","195506077","guillaumechevalier","2024-01-01 21:34:55+01:00","Chéméré, Chaumes-en-Retz, Pays de la Loire, FR","Observations","4507689274","https://www.inaturalist.org/observations/195506077","702803","195506077","iNaturalist","21:34:55+01:00","wild","439718618",NA,"Predation, 51 salamandres observés ce soir la sur le site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"Salamandra salamandra (Linnaeus, 1758)",-7.332308,39.40892,"cdc,cdround","gbif","4507903237","Salamandra salamandra (Linnaeus, 1758)","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","PT","DWC_ARCHIVE","2024-07-09T01:59:58.897+00:00","2024-07-09T17:13:14.664+00:00",471,"HUMAN_OBSERVATION","PRESENT","Adult",2431776,1,44,131,953,6750,8024525,2431776,2431776,"Salamandra salamandra (Linnaeus, 1758)","Animalia","Chordata","Caudata","Salamandridae","Salamandra","Salamandra salamandra","Salamandra","salamandra",NA,"SPECIES","ACCEPTED","2024-01-01T22:07:41",1183,"EUROPE","Portalegre",2024,1,1,2024-01-01,1,1,"2024-01-19T09:40:18.000+00:00","2024-07-09T17:13:14.664+00:00","https://www.inaturalist.org/observations/195507480","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","Martinho","Martinho","WGS84","Amphibia","PT","EUROPE","Portugal","EUROPE","Martinho","195507480","martinhoreis","2024-01-01 22:05:44","Santo António das Areias EM1036-2, 7330 Santo António das Areias, Portugal","Observations","4507903237","https://www.inaturalist.org/observations/195507480","27726","195507480","iNaturalist","22:05:44+00:00","wild","439712924","LC","Achei muito estranho pois o espécime de salamandra salamandra tinha nas suas costas agarrado um epidalea calamita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"Salamandra salamandra (Linnaeus, 1758)",-4.671285,43.066075,"cdc,cdround","gbif","4508006208","Salamandra salamandra (Linnaeus, 1758)","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2024-07-09T01:59:58.897+00:00","2024-07-09T16:46:45.363+00:00",471,"HUMAN_OBSERVATION","PRESENT",NA,2431776,1,44,131,953,6750,8024525,2431776,2431776,"Salamandra salamandra (Linnaeus, 1758)","Animalia","Chordata","Caudata","Salamandridae","Salamandra","Salamandra salamandra","Salamandra","salamandra",NA,"SPECIES","ACCEPTED","2024-01-01T22:55:25",340,"EUROPE","Cantabria",2024,1,1,2024-01-01,1,1,"2024-01-10T16:50:48.000+00:00","2024-07-09T16:46:45.363+00:00","https://www.inaturalist.org/observations/195512444","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","paulapan","paulapan","WGS84","Amphibia","ES","EUROPE","Spain","NORTH_AMERICA","paulapan","195512444","paulapan","2024-01-01 16:24:16","39577 Ledantes, Cantabria, España","Observations","4508006208","https://www.inaturalist.org/observations/195512444","27726","195512444","iNaturalist","16:24:16+01:00","wild","439724118","LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"Salamandra salamandra terrestris Lacépède, 1788",-2.630768,48.36322,"cdc,cdround","gbif","4507688283","Salamandra salamandra terrestris Lacépède, 1788","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2024-07-09T01:59:58.897+00:00","2024-07-09T16:45:46.966+00:00",471,"HUMAN_OBSERVATION","PRESENT","Adult",5848702,1,44,131,953,6750,8024525,2431776,5848702,"Salamandra salamandra terrestris Lacépède, 1788","Animalia","Chordata","Caudata","Salamandridae","Salamandra","Salamandra salamandra","Salamandra","salamandra","terrestris","SUBSPECIES","ACCEPTED","2024-01-01T22:57:45",20,"EUROPE","Bretagne",2024,1,1,2024-01-01,1,1,"2024-01-16T20:53:51.000+00:00","2024-07-09T16:45:46.966+00:00","https://www.inaturalist.org/observations/195512818","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"iNaturalist research-grade observations","vidi","vidi","WGS84","Amphibia","FR","EUROPE","France","NORTH_AMERICA","vidi","195512818","vidi","2024-01-01 23:36:37","22150 Hénon, France","Observations","4507688283","https://www.inaturalist.org/observations/195512818","702803","195512818","iNaturalist","23:36:37+01:00","wild","439724807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
